Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - English I + II,% Meets Grade Level - Algebra I,Growth Score,SAT/ACT Participation Rate,Average SAT Total Score,Average ACT Total Score,AP/IB Participation Rate,AP/IB Pass Rate,Graduation Rate,Student Achievement Grade,Campus Performance Grade,Growth Grade,College Readiness Grade,C@R Grade,State Rank
71907003,NORTHWEST EARLY COLLEGE H S (NWECHS),CANUTILLO ISD,EL PASO COUNTY,9-12,N,NA,342,3.5,1.2,83.6,10.2,56.4,9.0,88.6,65.9,56.2,98.0,1511,22.0,15.1,44.4,98%,A,A,A,A,A,58
233903001,COMSTOCK SCHOOL,COMSTOCK ISD,VAL VERDE COUNTY,KG-12,N,NO,195,0.5,0.5,44.6,52.8,29.2,9.6,87.0,83.3,53.3,76.5,1433,21.9,0.0,0.0,100%,A,A,B,B,A,59
227814001,CHAPARRAL STAR ACADEMY,CHAPARRAL STAR ACADEMY,TRAVIS COUNTY,KG-12,Y,NO,378,5.8,16.4,20.1,52.1,0.0,24.7,89.1,87.5,54.6,100.0,1699,26.8,60.5,60.9,92%,A,A,B,A,A,60
31916005,THE SCIENCE ACADEMY OF SOUTH TEXAS,SOUTH TEXAS ISD,HIDALGO COUNTY,9-12,N,NO,735,0.4,14.7,76.2,7.8,37.1,5.2,89.8,62.5,59.8,93.3,1677,26.1,82.9,65.9,92%,A,A,A,A,A,61
101912025,PERFOR & VIS ARTS H S,HOUSTON ISD,HARRIS COUNTY,9-12,N,YES,757,18.0,9.5,24.2,45.2,14.4,1.4,94.1,72.1,54.6,100.0,1746,26.0,66.9,80.5,92%,A,A,B,A,A,62
252902002,NEWCASTLE SCHOOL,NEWCASTLE ISD,YOUNG COUNTY,EE-12,N,NO,225,0.9,0.0,12.9,84.4,66.2,10.5,60.0,100.0,54.4,66.7,0,22.6,0.0,0.0,100%,A,A,B,C,A,63
227909001,WESTLAKE H S,EANES ISD,TRAVIS COUNTY,7-12,N,NO,2655,0.9,12.5,13.2,68.9,2.5,3.6,90.8,79.7,58.6,100.0,1824,26.8,67.2,81.3,91%,A,A,A,A,A,64
49907001,LINDSAY H S,LINDSAY ISD,GRAYSON COUNTY,7-12,N,NA,236,0.4,2.5,5.1,89.0,10.6,4.1,86.7,86.0,55.8,67.6,1444,22.6,37.5,40.7,98%,A,A,A,A,A,65
101845101,YES PREP - NORTH CENTRAL,YES PREP PUBLIC SCHOOLS INC,HARRIS COUNTY,6-12,Y,NO,958,1.6,0.4,96.3,0.6,82.9,1.9,70.5,80.9,52.6,100.0,1340,18.1,96.1,23.4,97%,A,A,B,A,A,66
101913005,QUEST EARLY COLLEGE H S,HUMBLE ISD,HARRIS COUNTY,9-12,N,NO,393,15.5,9.2,42.5,30.5,28.2,11.8,87.6,78.6,52.6,100.0,1508,23.6,0.0,0.0,96%,A,A,B,B,A,67
101912463,YOUNG WOMEN'S COLLEGE PREP ACADEMY,HOUSTON ISD,HARRIS COUNTY,6-12,N,YES,582,54.3,2.2,39.3,1.9,72.3,5.2,81.8,73.6,49.4,100.0,1321,19.2,93.0,7.6,89%,A,A,D,B,A,68
108808101,VANGUARD REMBRANDT,VANGUARD ACADEMY,HIDALGO COUNTY,PK-12,Y,NO,1386,0.1,0.4,97.5,1.8,82.5,4.4,69.3,83.7,53.0,91.8,1332,18.2,42.6,37.2,94%,A,A,B,B,A,69
57911001,HIGHLAND PARK H S,HIGHLAND PARK ISD,DALLAS COUNTY,9-12,N,NO,2159,0.6,5.4,4.7,88.0,0.0,2.8,92.5,76.7,55.7,99.0,1833,27.6,77.9,77.8,92%,A,A,A,A,A,70
101907012,CYPRESS RANCH H S,CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,9-12,N,NO,3715,11.5,11.2,20.8,53.4,12.1,5.8,80.2,83.9,58.2,99.2,1559,21.2,33.4,70.3,93%,A,A,A,A,A,71
