Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
43905120,OGLE EL,FRISCO ISD,COLLIN COUNTY,KG-5,N,NO,651,14.9,15.2,13.4,50.4,10.0,13.2,62.7,61.9,55.7,B,B,A,B,932
101912244,SOUTHMAYD EL,HOUSTON ISD,HARRIS COUNTY,EE-5,N,NO,717,1.3,0.0,97.9,0.8,94.4,10.4,37.5,64.4,53.0,B,A,B,B,933
137901110,PEREZ EL,KINGSVILLE ISD,KLEBERG COUNTY,EE-4,N,NO,466,3.6,3.9,82.8,9.7,74.7,24.2,48.8,53.1,56.1,B,B,A,B,934
188901140,SLEEPY HOLLOW EL,AMARILLO ISD,RANDALL COUNTY,EE-5,N,NO,558,2.2,6.1,13.8,74.6,12.7,7.1,59.1,66.8,51.6,B,B,C,B,935
20904101,DANBURY EL,DANBURY ISD,BRAZORIA COUNTY,EE-5,N,NO,348,0.3,0.6,23.6,72.4,32.5,9.8,52.2,63.9,53.0,B,B,B,B,936
199901108,DOROTHY SMITH PULLEN EL,ROCKWALL ISD,ROCKWALL COUNTY,EE-6,N,NO,563,4.4,1.8,16.0,73.7,15.5,8.0,59.9,63.8,52.6,B,B,B,B,937
57916110,NORTHWOOD HILLS EL,RICHARDSON ISD,DALLAS COUNTY,EE-6,N,NO,453,15.0,3.5,48.8,29.1,62.3,18.4,50.0,56.1,54.0,B,B,B,B,938
101912216,PATTERSON EL,HOUSTON ISD,HARRIS COUNTY,EE-5,N,YES,932,6.5,0.2,91.1,1.8,90.3,12.3,47.4,53.6,54.6,B,A,B,B,939
225902104,VIVIAN FOWLER EL,MOUNT PLEASANT ISD,TITUS COUNTY,KG-4,N,NO,470,13.6,1.3,78.7,6.0,94.3,12.0,49.3,52.0,53.9,B,A,B,B,940
43910124,DAFFRON EL,PLANO ISD,COLLIN COUNTY,KG-5,N,NO,536,10.4,22.0,33.0,28.9,31.2,12.1,57.9,58.4,53.4,B,B,B,B,941
249901101,ALVORD EL,ALVORD ISD,WISE COUNTY,EE-5,N,NO,330,0.0,0.0,15.8,83.3,39.7,12.2,58.4,54.2,54.3,B,B,B,B,942
49905101,CALLISBURG EL,CALLISBURG ISD,COOKE COUNTY,EE-5,N,NO,551,1.8,0.0,11.6,82.9,48.6,11.9,51.2,57.9,55.3,B,B,A,B,943
71801001,HOWARD BURNHAM EL,BURNHAM WOOD CHARTER SCHOOL DISTRICT,EL PASO COUNTY,KG-5,Y,NO,509,3.3,1.8,86.4,6.9,37.9,5.5,62.2,53.7,50.4,B,B,C,B,944
94902114,ELAINE S SCHLATHER INT,SCHERTZ-CIBOLO-U CITY ISD,GUADALUPE COUNTY,5-6,N,NO,706,12.7,2.4,33.6,43.2,24.1,9.7,51.1,66.1,56.2,B,B,A,B,945
15910101,CASTLE HILLS EL,NORTH EAST ISD,BEXAR COUNTY,KG-5,N,NO,511,2.2,2.2,65.8,26.8,39.1,8.8,60.7,53.6,52.0,B,B,B,B,946
