Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
35903001,NAZARETH SCHOOL,NAZARETH ISD,CASTRO COUNTY,PK-12,N,NO,233,0.9,0.0,9.9,87.1,15.9,2.8,70.1,73.7,57.7,A,A,A,A,90
108807012,IDEA BROWNSVILLE COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,CAMERON COUNTY,6-11,Y,NO,592,0.0,1.7,95.3,3.0,82.9,3.5,56.3,66.8,54.8,A,A,B,A,91
101914046,RODGER & ELLEN BECK J H,KATY ISD,FORT BEND COUNTY,6-8,N,NO,999,7.2,19.2,21.7,47.2,10.8,5.5,73.2,74.1,55.7,A,A,A,A,92
247904041,POTH J H,POTH ISD,WILSON COUNTY,6-8,N,NO,166,1.8,0.0,41.6,56.0,38.0,7.9,64.2,69.1,55.4,A,A,A,A,93
61902055,CLAYTON DOWNING MIDDLE,LEWISVILLE ISD,DENTON COUNTY,6-8,N,NO,593,1.9,7.4,9.1,78.6,4.4,4.7,72.2,79.0,54.9,A,A,B,A,94
108807003,IDEA FRONTIER COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,CAMERON COUNTY,6-12,Y,NA,780,0.0,0.6,97.1,2.1,89.5,4.2,59.6,58.2,58.0,B,A,A,A,95
98901041,GRUVER J H,GRUVER ISD,HANSFORD COUNTY,5-8,N,NO,145,0.0,1.4,51.0,46.9,54.5,6.1,52.0,76.4,53.2,A,A,B,A,96
132902001,JAYTON SCHOOLS,JAYTON-GIRARD ISD,KENT COUNTY,EE-12,N,NO,128,0.8,0.0,26.6,70.3,32.0,20.3,68.0,66.0,56.2,A,A,A,A,97
43910047,SCHIMELPFENIG MIDDLE,PLANO ISD,COLLIN COUNTY,6-8,N,NO,926,5.5,30.8,10.6,47.7,14.1,4.5,71.9,72.2,54.5,A,A,B,A,98
43905057,NELSON MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,638,9.6,37.3,7.1,42.3,5.6,0.0,73.3,77.6,51.8,A,A,C,A,99
43905049,STAFFORD MIDDLE,FRISCO ISD,DENTON COUNTY,6-8,N,NO,818,17.0,14.9,16.0,48.4,12.8,8.2,68.6,73.9,57.4,A,A,A,A,100
101907049,HAMILTON MIDDLE,CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,6-8,N,NO,1401,8.5,9.1,23.1,54.7,20.6,8.8,67.0,71.3,56.1,A,A,A,A,101
108807026,IDEA MAYS COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,BEXAR COUNTY,6-7,Y,NO,120,8.3,0.0,85.0,6.7,85.8,0.0,50.4,61.1,65.3,B,A,A,A,102
118902001,IRION H S,IRION COUNTY ISD,IRION COUNTY,7-12,N,NO,139,2.9,0.0,35.3,60.4,30.9,18.9,66.7,64.4,58.7,A,A,A,A,103
101912256,WHARTON K-8 DUAL LANGUAGE ACADEMY,HOUSTON ISD,HARRIS COUNTY,EE-8,N,YES,495,14.1,1.2,66.3,16.0,49.3,0.8,56.0,69.6,56.7,A,A,A,A,104
43914045,RAYMOND B COOPER J H,WYLIE ISD,COLLIN COUNTY,7-8,N,NO,820,15.4,15.2,19.6,46.5,23.3,7.3,69.7,68.1,53.5,A,A,B,A,105
101913045,RIVERWOOD MIDDLE,HUMBLE ISD,HARRIS COUNTY,6-8,N,NO,1087,2.7,5.0,14.1,75.4,4.0,4.4,70.9,76.9,55.2,A,A,A,A,106
101819001,AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,HARRIS COUNTY,PK-8,Y,NO,499,0.2,0.0,99.8,0.0,96.6,9.9,39.4,72.7,61.3,B,A,A,A,107
246913045,CANYON RIDGE MIDDLE,LEANDER ISD,TRAVIS COUNTY,6-8,N,NO,1327,0.8,13.2,11.7,70.8,2.3,4.0,73.9,76.5,52.3,A,A,B,A,108
84910045,LEAGUE CITY INT,CLEAR CREEK ISD,GALVESTON COUNTY,6-8,N,NO,1108,4.4,8.6,22.7,59.2,14.9,7.3,74.3,67.1,53.3,A,A,B,A,109
101914047,GARLAND MCMEANS J H,KATY ISD,FORT BEND COUNTY,6-8,N,NO,1140,6.1,24.1,20.5,46.4,13.9,12.1,67.2,73.7,54.8,A,A,B,A,110
