Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank,Regional Rank
227901113,CUNNINGHAM EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,412,8.0,3.4,58.0,23.8,56.6,7.7,30.1,27.7,39.9,F,F,F,F,4184,268
28902105,BLUEBONNET EL,LOCKHART ISD,CALDWELL COUNTY,KG-5,N,NO,663,2.9,0.2,79.2,15.8,72.9,12.2,28.2,24.6,40.5,F,F,F,F,4194,269
28903101,LEONARD SHANKLIN EL,LULING ISD,CALDWELL COUNTY,2-5,N,NO,440,4.8,0.0,67.5,25.5,74.3,13.2,22.5,26.7,45.4,F,F,F,F,4197,270
28906001,PRAIRIE LEA SCHOOL,PRAIRIE LEA ISD,CALDWELL COUNTY,PK-12,N,NO,200,7.5,0.0,47.5,42.0,76.0,21.0,28.4,18.2,47.6,F,F,F,F,4221,271
227901124,METZ EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,305,7.2,7.5,83.3,2.0,82.3,16.0,21.8,27.3,40.9,F,F,F,F,4245,272
227907106,PRESIDENTIAL MEADOWS EL,MANOR ISD,TRAVIS COUNTY,EE-5,N,NO,512,18.8,2.9,67.4,7.0,75.6,16.5,22.9,24.8,43.7,F,F,F,F,4259,273
105906110,TOBIAS EL,HAYS CISD,HAYS COUNTY,KG-5,N,NO,691,4.5,0.6,59.2,31.3,47.3,13.5,31.3,26.8,38.9,F,F,F,F,4266,274
227907107,OAK MEADOWS EL,MANOR ISD,TRAVIS COUNTY,EE-5,N,NO,616,14.8,1.6,79.4,1.9,96.9,16.6,22.1,26.6,38.7,F,F,F,F,4268,275
227901162,HOUSTON EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,680,7.8,0.0,90.4,1.2,83.1,16.1,19.2,25.2,46.1,F,F,F,F,4275,276
28902106,ALMA BREWER STRAWN EL,LOCKHART ISD,CALDWELL COUNTY,EE-5,N,NO,454,1.1,0.4,90.3,6.4,85.0,0.0,20.6,25.1,42.3,F,F,F,F,4300,277
227901193,WEBB PRI CENTER,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,262,4.6,0.0,93.1,1.1,96.2,25.9,15.8,28.6,42.2,F,F,F,F,4314,278
11902101,BOOKER T WASHINGTON EL,ELGIN ISD,BASTROP COUNTY,KG-5,N,NO,608,10.5,0.0,70.6,16.8,78.8,13.3,22.6,23.7,41.4,F,F,F,F,4316,279
246904103,FROST EL,GEORGETOWN ISD,WILLIAMSON COUNTY,EE-5,N,NO,423,9.2,0.7,42.6,42.1,64.8,11.8,29.1,21.4,38.4,F,F,F,F,4328,280
11902103,NEIDIG EL,ELGIN ISD,TRAVIS COUNTY,KG-5,N,NO,651,17.8,0.5,56.7,23.0,71.9,19.5,23.7,23.2,40.3,F,F,F,F,4338,281
246904110,JAMES E MITCHELL EL,GEORGETOWN ISD,WILLIAMSON COUNTY,EE-5,N,NO,537,1.3,0.4,65.9,30.5,65.2,13.6,26.0,22.0,37.8,F,F,F,F,4378,282
227901175,WIDEN EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,558,6.3,0.0,91.9,0.9,85.8,18.1,18.8,21.1,41.1,F,F,F,F,4408,283
227901164,PICKLE EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,637,4.9,0.8,92.3,1.6,90.4,20.5,17.6,17.6,42.8,F,F,F,F,4440,284
227901116,GOVALLE EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,470,12.1,0.9,84.7,1.1,88.3,22.4,11.6,19.5,42.1,F,F,F,F,4468,285
105906109,HEMPHILL EL,HAYS CISD,HAYS COUNTY,EE-5,N,NO,844,0.8,0.2,93.2,4.9,90.3,11.8,15.8,12.2,40.1,F,F,F,F,4488,286
