,gsId,name,city,state,address,lat,lon,type,gsRating,Zipcode
180,24837,Ko School + Incubator,Austin,TX,"1701 Toomey Road, 
Austin, TX  78704",30.264433,-97.76164,private,,78704
181,610,Kocurek Elementary School,Austin,TX,"9800 Curlew Drive, 
Austin, TX  78748",30.177746,-97.83525,public,,78748
182,25584,Kozmetsky At Rathgeber Village,Austin,TX,"4800 Manor Road, 
Austin, TX  78723",30.296387,-97.68996,charter,4.0,78723
183,4147,Lago Vista Elementary School,Austin,TX,"P O Box 4929, 
Austin, TX  78734",30.385658,-97.95364,public,,78734
184,4148,Lago Vista High School,Austin,TX,"P O Box 4929, 
Austin, TX  78734",30.385658,-97.95364,public,7.0,78734
185,4149,Lago Vista Middle School,Austin,TX,"P O Box 4929, 
Austin, TX  78734",30.385658,-97.95364,public,6.0,78734
186,9933,Lake Pointe Elementary School,Austin,TX,"3322 Ranch Road 620 South, 
Austin, TX  78738",30.327839,-97.96536,public,5.0,78738
187,4157,Lake Travis Elementary School,Austin,TX,"3322 Ranch Road 620 South, 
Austin, TX  78738",30.327839,-97.96536,public,10.0,78738
188,4158,Lake Travis High School,Austin,TX,"3324 Ranch Road 620 South, 
Austin, TX  78738",30.324848,-97.96807,public,8.0,78738
189,24753,Lake Travis STEM Academy,Austin,TX,"3315 El Salido Pkwy, 
Austin, TX  78726",30.360304,-97.69251,private,9.0,78726
190,4156,Lakeway Elementary School,Austin,TX,"3322 Ranch Road 620 South, 
Austin, TX  78738",30.327839,-97.96536,public,,78738
191,553,Lamar Middle School,Austin,TX,"6201 Wynona Avenue, 
Austin, TX  78757",30.337774,-97.74058,public,9.0,78757
192,600,Langford Elementary School,Austin,TX,"2206 Blue Meadow Drive, 
Austin, TX  78744",30.182083,-97.76337,public,7.0,78744
193,554,Lanier High School,Austin,TX,"1201 Payton Gin Road, 
Austin, TX  78758",30.360209,-97.70832,public,5.0,78758
194,12101,Lasa High School,Austin,TX,"7309 Lazy Creek Drive, 
Austin, TX  78724",30.313496,-97.65667,public,3.0,78724
195,9128,Laura Welch Bush Elementary School,Austin,TX,"12600 Country Trails Lane, 
Austin, TX  78732",30.366116,-97.89997,public,10.0,78732
196,5887,Laurel Mountain Elementary School,Austin,TX,"10111 D-K Ranch Road, 
Austin, TX  78759",30.413939,-97.78091,public,10.0,78759
