,Name,Zip code,latitude,longitude
194,Detour,78758,30.39442,-97.72019
195,Parlor Room,78701,30.2596676325079,-97.7386219853414
196,Salty Sow,78722,30.2836497259461,-97.7213180065155
197,Happy Chicks,78701,30.267617,-97.740781
198,Vaquero's Cafe and Cantina,78746,30.27087,-97.81717
199,Culinary Dropout,78758,30.403653,-97.721503
200,Jack & Gingers,78758,30.4011283513491,-97.7228807096988
201,Wilder Wood Restaurant & Bar,78702,30.26517,-97.72859
202,The 04 Lounge,78704,30.2257133520068,-97.762843803094
203,The Ginger Man,78701,30.2672824859619,-97.7462768554688
204,BaseCamp,78701,30.267578125,-97.7438735961914
205,Pool Burger,78703,30.2778,-97.7725899
206,Parmer Lane Tavern,78727,30.4154010136868,-97.6964487108368
207,Backspin Texas Sports Bar & Grill,78737,30.200723958811,-97.8645905479789
208,The Local Pub and Patio,78705,30.2915658,-97.7414793
209,Gourdough's Public House,78704,30.245382,-97.780437
210,The Continental Club Gallery,78704,30.25059,-97.7490399
211,Li'l Nonna's,78741,30.2416820526123,-97.7268676757812
