,barName,Zip code,barRating,barlatitude,barlongitude
204,Rusty Cannon Pub,78745,3.5,30.20985,-97.7820799
205,Westgate Lanes,78745,3.5,30.2067832946777,-97.8164367675781
206,Austin Hookah Lounge,78745,4.0,30.22483,-97.8032
207,D K Sushi Restaurant,78745,3.5,30.200511932373,-97.7860488891602
208,Pintos Party,78664,3.5,30.52913,-97.683
209,Las Palomas Restaurant & Bar,78746,3.5,30.271881,-97.800071
210,Bike & Brew ATX,78702,5.0,30.25841,-97.71143
211,The Rotten Bunch,78717,4.5,30.4984434463754,-97.777564941803
212,The League Kitchen & Tavern,78717,4.0,30.4977090461029,-97.7737116701834
213,Morelia Mexican Grill,78717,3.0,30.486592,-97.769706
214,Detour,78758,3.5,30.39442,-97.72019
215,Yard House,78758,4.0,30.4053,-97.72308
216,Jack & Gingers,78758,3.5,30.4011283513491,-97.7228807096988
217,Culinary Dropout,78758,4.0,30.403653,-97.721503
218,Draft Shack Oyster Bar,78758,4.0,30.4062692,-97.7202672
219,St. Genevieve,78758,3.5,30.4013526371326,-97.7228714453827
220,Maki Toki,78758,3.0,30.3931,-97.706923
221,Paris Hookah Lounge,78758,4.0,30.3794915,-97.7126344
222,Second Bar + Kitchen,78758,4.0,30.4023750200579,-97.721345834434
223,The Canary Roost,78758,3.0,30.4006140494032,-97.7038837734032
224,Topgolf,78758,4.0,30.3982988883254,-97.7175606715332
225,Doc B's Fresh Kitchen,78758,4.5,30.402758,-97.719745
226,Bazille,78758,4.5,30.4022442392014,-97.7204028617381
227,Kung Fu Saloon,78758,2.5,30.400905,-97.722687
228,Chuy's,78753,4.0,30.3751687,-97.6905747
229,Toulouse Cafe and Bar,78758,4.0,30.40283,-97.72161
230,Cyclone Anaya's Tex-Mex Cantina,78758,3.0,30.40283,-97.72161
231,Taqueria Las Chivas Jalisco,78753,3.5,30.377566,-97.708694
232,Side Pocket Billiards,78753,2.5,30.37593,-97.6894499
233,Vino Volo,78617,4.0,30.1997730903084,-97.6649259655231
234,Ray Benson's Roadhouse Bar,78719,1.5,30.2019607476429,-97.6669872857055
235,Saxon Pub,78617,2.0,30.2022582593851,-97.6655642692615
236,Annie's Cafe and Bar,78719,3.0,30.2022583404733,-97.670186237326
237,Earl Campbell's Sports Bar,78719,2.0,30.2022828037756,-97.6696040577532
238,Hippies & Hops,78719,2.0,30.20215,-97.66713
239,Departure Lounge,78719,3.5,30.2019844449803,-97.6665412061124
240,Bike & Brew ATX,78702,5.0,30.25841,-97.71143
241,Saxon Pub,78719,1.5,30.2022114,-97.6678722
242,American Airlines Admirals Club,78719,3.5,30.202169,-97.667075
243,United Club,78719,3.5,30.2021489,-97.666829
244,Pour House Pints And Pies,78759,4.0,30.4228443049482,-97.7553981431361
245,Hookah Buzz,78759,5.0,30.4175368500966,-97.7456080926093
246,Riata Bar and Grill,78727,3.5,30.4285390454003,-97.7499593688638
247,Brick House Tavern + Tap,78759,3.5,30.4179506798627,-97.7475302281723
248,The Water Tank,78729,3.0,30.434814453125,-97.7667236328125
249,Chuy's,78759,4.0,30.418443,-97.747839
250,BB Rover's Cafe & Pub,78759,3.5,30.43077,-97.76458
251,Moonlight Hookah Cafe,78759,4.0,30.43077,-97.76458
252,Bone Daddy's BBQ,78759,3.5,30.4157183214564,-97.7452174418976
253,Hard Luck Lounge,78702,4.5,30.2564602,-97.701889
254,Sahara Lounge,78721,4.0,30.2795716,-97.68159
255,Justine's Brasserie,78702,4.0,30.253236,-97.700576
256,Eden East,78702,4.0,30.2578792675725,-97.7002314099258
257,Skylark Lounge,78722,4.5,30.2846205,-97.70491
258,The Butterfly Bar,78722,4.0,30.28442,-97.71744
259,Techo Mezcaleria & Agave Bar,78722,4.5,30.28412,-97.7189099
260,The Wheel,78702,4.5,30.280246473018,-97.7208685643035
261,8 Track,78722,4.5,30.28511,-97.71164
262,School House Pub,78722,4.0,30.284213,-97.718819
263,Haymaker,78722,3.5,30.28479,-97.71757
264,Full Circle Bar,78702,4.5,30.27392,-97.72037
265,WhichCraft Tap Room & Bottle Shop,78723,4.5,30.2970963,-97.7043831
