,Name,Zip code,latitude,longitude
275,Visconti Ristorante & Bar,78746,30.30194,-97.82954
276,The Eastern,78702,30.26287,-97.72682
277,Abel's On the Lake,78703,30.29493,-97.78381
278,Key Bar,78701,30.26972,-97.74934
279,Star Bar,78701,30.2698824290103,-97.748554037788
280,Batch - Craft Beer and Kolaches,78723,30.2871694082172,-97.7031195536256
281,Kinda Tropical,78702,30.2568019517852,-97.7029324695468
282,Red's Porch,78759,30.400058,-97.739168
283,Somersault Innovative Cocktails,78758,30.4029154,-97.7236497
284,District Kitchen & Cocktails,78749,30.2014264170508,-97.8796087791679
285,Fogueira Gaúcha Brazilian Steakhouse,78681,30.489251,-97.680032
286,Draft Shack Oyster Bar,78758,30.4062692,-97.7202672
287,Hops and Grain,78702,30.25832541205,-97.7117743072167
288,Hudson Tavern,78734,30.412,-97.92722
289,Justine's Brasserie,78702,30.253236,-97.700576
290,Sake Mama,78701,30.26635,-97.73763
291,Freedmen's,78705,30.288439,-97.747897
292,Eureka!,78701,30.2678427491661,-97.7412401139736
293,400 Rabbits Bar,78739,30.199722,-97.869529
294,Wicked Backyard,78748,30.156761,-97.792378
295,Cover 2,78750,30.457156,-97.791483
296,Hangar Lounge,78701,30.266504262,-97.745026801
297,Texas Chili Parlor,78701,30.2768182754517,-97.7421728521585
298,Cedar Street Courtyard,78701,30.2669887542725,-97.745231628418
299,Tillery Kitchen and Bar,78702,30.25153,-97.70872
300,Bucket's Deli and Sports Bar,78702,30.25666,-97.72272
301,Barton Springs Saloon,78704,30.26133,-97.75879
302,Winebelly,78704,30.24141,-97.75892
303,Mandala Kitchen & Bar,78704,30.2558810087551,-97.7628875523806
304,Beerland,78701,30.2678058377023,-97.7365219064921
305,Lakeway's Speakeasy and Cigar Bar,78734,30.34999,-97.96471
306,Taco Flats,78756,30.330914,-97.740225
307,Nuvola Bar,78701,30.2669,-97.74289
308,Sellers,78701,30.2666132238106,-97.7454840391874
309,Summit Rooftop Lounge,78701,30.267579,-97.743872
310,G&S Lounge,78704,30.24135,-97.76046
311,Rio Rita,78702,30.27413,-97.7198
312,Soto - South Lamar,78704,30.25576,-97.76252
313,The Grand,78751,30.3060894012451,-97.7152328491211
314,Lavaca Street Bar,78701,30.26712,-97.74559
315,Barracuda,78701,30.26717,-97.7365
316,The Cavalier,78702,30.262942,-97.714676
317,Lavaca Street Bar At Rock Rose,78758,30.4005886869507,-97.723215790346
318,Little Woodrow's ,78756,30.329127876655,-97.7395716792886
319,The Rattle Inn,78701,30.27033,-97.74844
320,Lin Asian Bar And Dim Sum,78703,30.27281,-97.75799
321,Dirty Dog Bar,78798,30.26645,-97.73801
322,Bike & Brew ATX,78702,30.25841,-97.71143
323,Houndstooth Coffee,78702,30.2814468098981,-97.7095832100541
324,Blind Pig Pub,78701,30.2669372558594,-97.7398681640625
325,290 West Club,78737,30.2106547082446,-97.9688636691003
326,Halcyon,78701,30.2669600634204,-97.7457208584112
