,Restaurant_Name,Zip code,Restaurant_Rating,Restaurant_latitude,Restaurant_longitude
65,Salt & Time,78702,3.5,30.26266,-97.72113
66,Discada,78702,4.5,30.2686025800296,-97.7246335521341
67,Jeffrey's,78703,4.0,30.2803621441126,-97.7590721100569
68,True Food Kitchen,78701,4.5,30.2672474,-97.7520856
69,Lin Asian Bar And Dim Sum,78703,4.0,30.27281,-97.75799
70,68 Degrees Kitchen,78703,4.0,30.27786,-97.7729
71,Nightcap,78703,4.0,30.27371,-97.76045
72,CAVA,78701,5.0,30.26721,-97.74296
73,Cafe Josie,78703,4.5,30.2731212879431,-97.7571356024467
74,Cipollina,78703,3.5,30.2807,-97.75843
75,Sophia's,78701,4.0,30.26955,-97.74751
76,Freedmen's,78705,4.0,30.288439,-97.747897
77,Fixe Austin's Southern House,78701,4.0,30.26853,-97.74773
78,Fabi + Rosi,78703,4.5,30.2789000355663,-97.7726416986868
79,"Truluck's Seafood, Steak and Crab House",78701,4.5,30.26683,-97.74502
80,Wink,78703,4.0,30.275848,-97.752427
81,Clay Pit,78701,4.0,30.279073,-97.74232
82,She's Not Here,78701,4.0,30.2656463300085,-97.7483603730798
83,Zocalo Café,78703,4.0,30.2801055908203,-97.7594833374023
84,Clark's Oyster Bar,78703,4.0,30.273129,-97.757323
85,The Grove Wine Bar & Kitchen,78701,4.0,30.27102,-97.750691
86,Red Ash,78701,4.0,30.26588,-97.744672
87,Odd Duck,78704,4.5,30.25452,-97.762064
88,Nesperado Mexican Barbecue,78704,4.5,30.24686,-97.75639
89,Pastelaria São Paulo,78704,5.0,30.24441,-97.75808
90,Mattie's,78704,4.0,30.244963,-97.762289
91,Eberly,78704,4.0,30.2587887974766,-97.7587449596709
92,Loro,78704,4.0,30.24775,-97.77127
93,Lenoir,78704,4.0,30.24686,-97.75586
94,Sway,78704,4.0,30.250142,-97.754556
95,South Congress Cafe,78704,4.0,30.247910624258,-97.7506415082953
96,Barlata Tapas Bar,78704,4.0,30.2522283079698,-97.7644667171967
97,Chi'Lantro,78704,4.0,30.252212,-97.763751
98,Botticelli's,78704,4.0,30.2503552,-97.7491967
99,Ramen Tatsu-Ya,78704,4.0,30.253899793553,-97.7631825953722
100,Mandala Kitchen & Bar,78704,4.5,30.2558810087551,-97.7628875523806
101,TLC Austin,78704,4.5,30.25576,-97.76252
102,Phoebe's Diner,78704,4.5,30.2416132,-97.7588755
103,Uchi,78704,4.5,30.25754,-97.75981
